No,Keywords,Volume,CPC,Paid Difficulty,Seo Difficulty,Position,Est. Visits,Ranking Url
1,google for my business,368000,"₹82,548.25",5,78,61,2,http://thriveagency.com/news/what-is-google-my-business-and-why-is-it-important/
2,digital market,301000,₹82.14,30,57,79,1,http://thriveagency.com/digital-marketing-services/
3,digital marketers,301000,₹873.36,27,56,76,1,http://thriveagency.com/digital-marketing-services/
4,search engine optimize,110000,₹732.20,13,80,95,3,http://thriveagency.com/digital-marketing-services/search-engine-optimization-seo/
5,search engine optimisation,110000,₹101.95,15,80,90,3,http://thriveagency.com/digital-marketing-services/search-engine-optimization-seo/
6,search engine optimization,110000,₹732.20,13,79,39,3,http://thriveagency.com/digital-marketing-services/search-engine-optimization-seo/
7,write content,74000,₹7.43,23,62,48,0,http://thriveagency.com/news/how-to-write-website-content/
8,social media marketer,60500,₹90.39,22,38,41,3,http://thriveagency.com/digital-marketing-services/social-media/
9,social marketing media,60500,₹188.62,21,76,87,3,http://thriveagency.com/digital-marketing-services/social-media/social-media-management/
10,marketing social media,60500,₹204.31,22,79,75,3,http://thriveagency.com/digital-marketing-services/social-media/
11,social media marketing,60500,₹188.62,21,80,76,3,http://thriveagency.com/digital-marketing-services/social-media/
12,social media market,60500,₹204.31,22,80,62,3,http://thriveagency.com/digital-marketing-services/social-media/
13,marketing on social media,60500,₹204.31,22,80,94,1,http://thriveagency.com/digital-marketing-services/social-media/
14,marketing with social media,60500,₹204.31,22,80,39,1,http://thriveagency.com/digital-marketing-services/social-media/
15,marketing in social media,60500,₹204.31,22,79,65,1,http://thriveagency.com/digital-marketing-services/social-media/
16,marketing for social media,60500,₹204.31,22,79,88,1,http://thriveagency.com/digital-marketing-services/social-media/
17,social media for marketers,60500,₹188.62,21,76,93,1,http://thriveagency.com/digital-marketing-services/social-media/
18,websites design,60500,₹31.37,34,65,91,1,http://thriveagency.com/digital-marketing-services/web-design/
19,social media & marketing,60500,₹140.74,28,79,56,1,http://thriveagency.com/digital-marketing-services/social-media/
20,content in writing,60500,₹8.67,26,59,77,0,http://thriveagency.com/news/how-to-write-website-content/
21,job for google,49500,₹9.49,12,72,36,10,http://thriveagency.com/news/how-to-get-your-job-listings-to-show-on-google/
22,jobs in google,49500,₹9.49,12,70,42,4,http://thriveagency.com/news/how-to-get-your-job-listings-to-show-on-google/
23,google for job,49500,₹9.49,12,69,92,0,http://thriveagency.com/news/how-to-get-your-job-listings-to-show-on-google/
24,digital marketing agency,40500,₹46.64,40,51,2,2001,http://thriveagency.com/
25,agency for digital marketing,40500,₹46.64,40,61,7,76,http://thriveagency.com/
26,digital marketing agencies,40500,₹46.64,40,38,7,62,http://thriveagency.com/
27,marketing digital agencies,40500,₹46.64,40,67,43,4,http://thriveagency.com/
28,digital marketing agents,33100,₹44.16,47,64,7,94,http://thriveagency.com/
29,digital market agency,33100,₹55.31,48,63,9,66,http://thriveagency.com/
30,digital marketing agent,33100,₹55.31,44,36,11,7,http://thriveagency.com/
31,google's videos,33100,₹48.70,1,83,86,0,http://thriveagency.com/news/what-you-need-to-know-about-googles-new-video-structured-data-clip-and-seektoaction/
32,google's video,33100,₹3.71,1,84,78,0,http://thriveagency.com/news/what-you-need-to-know-about-googles-new-video-structured-data-clip-and-seektoaction/
33,email marketer,27100,₹66.86,38,63,79,0,http://thriveagency.com/digital-marketing-services/email-marketing-services/
34,shorts video on youtube,27100,₹60.26,3,86,62,0,http://thriveagency.com/news/an-introduction-to-youtube-shorts-what-it-is-and-why-to-use-it/
